source_system,source_issue_id,canonical_security_id,hk_stock_codes,security_name,valid_from,valid_to,mapping_status,mapping_evidence,mapping_row_count
webb_ccass,26787,webb:issue:26787,08561;08588;08619,NIU HOLDINGS,2018-09-17,2025-08-18,AMBIGUOUS,webbsite_full.sqlite/shortnames,10
webb_ccass,26798,webb:issue:26798,02680;02998,INNOVAX HLDGS,2018-09-14,2024-11-29,AMBIGUOUS,webbsite_full.sqlite/shortnames,5
webb_ccass,26813,webb:issue:26813,02552,HUA MEDICINE-B,2018-09-14,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,26817,webb:issue:26817,03182,WISE NEWECONESG,2018-09-12,2024-05-20,EXACT,webbsite_full.sqlite/shortnames,2
webb_ccass,26818,webb:issue:26818,09618,JD-SW,2020-06-18,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,26823,webb:issue:26823,03690,MEITUAN-W,2018-09-20,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,26848,webb:issue:26848,01748,XIN YUAN ENT,2018-09-26,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,26849,webb:issue:26849,01723,MOON INC,2018-09-27,2025-06-12,EXACT,webbsite_full.sqlite/shortnames,2
webb_ccass,26852,webb:issue:26852,01595,STYLAND W1911,2018-11-07,2019-11-06,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,26864,webb:issue:26864,06862,HAIDILAO,2018-09-26,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,26868,webb:issue:26868,01787,SD GOLD,2018-09-28,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,26870,webb:issue:26870,01911,CR HOLDINGS,2018-09-27,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,26872,webb:issue:26872,08017,TRADEGO,2018-09-28,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,26884,webb:issue:26884,01781,SC CREATIVE DEV,2018-10-04,2022-05-23,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,26885,webb:issue:26885,01809,PRINX CHENGSHAN,2018-10-09,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,26886,webb:issue:26886,01540,LEFTFIELD PRINT,2018-10-08,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,26889,webb:issue:26889,01772,GANFENGLITHIUM,2018-10-11,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,26895,webb:issue:26895,08613,ORIENTAL PAY,2018-10-16,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,26896,webb:issue:26896,01939,SHANGSHAN GOLD,2018-10-11,2025-08-26,EXACT,webbsite_full.sqlite/shortnames,2
webb_ccass,26932,webb:issue:26932,08588;08603,FAMEGLOW-1K,2018-10-15,2025-12-18,AMBIGUOUS,webbsite_full.sqlite/shortnames,3
webb_ccass,26943,webb:issue:26943,08537;08582,CHONG FAI JEWEL,2019-03-27,2024-07-04,AMBIGUOUS,webbsite_full.sqlite/shortnames,6
webb_ccass,26944,webb:issue:26944,08516;08553;08565;08590,GRAND TALENTS,2018-10-15,2025-08-29,AMBIGUOUS,webbsite_full.sqlite/shortnames,12
webb_ccass,26950,webb:issue:26950,01825;02944,STERLING GP,2018-10-19,2021-08-10,AMBIGUOUS,webbsite_full.sqlite/shortnames,5
webb_ccass,26953,webb:issue:26953,01741,SHING CHI HLDGS,2018-10-16,2024-08-28,EXACT,webbsite_full.sqlite/shortnames,3
webb_ccass,26958,webb:issue:26958,03990,MIDEA REAL EST,2018-10-11,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,26962,webb:issue:26962,01894,HANG YICK HLDGS,2018-10-12,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,26963,webb:issue:26963,01653;02939,MOS HOUSE,2018-10-19,2020-10-14,AMBIGUOUS,webbsite_full.sqlite/shortnames,5
webb_ccass,26969,webb:issue:26969,06111,DAFA PPT,2018-10-11,2024-10-29,EXACT,webbsite_full.sqlite/shortnames,1
