source_system,source_participant_id,source_ccass_id,canonical_participant_id,participant_name,valid_from,valid_to,identity_status,mapping_evidence
webb_ccass,129,B01404,ccass:B01404,HONG KONG STOCK LINK SECURITIES LTD,2014-07-09,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,130,B01406,ccass:B01406,CHINA SECURITIES HOLDINGS LTD,2012-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,131,B01407,ccass:B01407,WIN WONG SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,132,B01410,ccass:B01410,WINGS SECURITIES (HK) LTD,2020-10-23,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,133,B01413,ccass:B01413,CORE PACIFIC - YAMAICHI INTERNATIONAL,2016-07-04,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,134,B01414,ccass:B01414,EVERHOT SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,135,B01415,ccass:B01415,TARZAN STOCK & SHARES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,136,B01416,ccass:B01416,VC BROKERAGE LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,137,B01417,ccass:B01417,CHEE TAK SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,138,B01420,ccass:B01420,A ONE INVESTMENT CO LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,139,B01421,ccass:B01421,ONEPLATFORM SECURITIES LTD,2020-11-23,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,140,B01423,ccass:B01423,PRUDENTIAL BROKERAGE LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,141,B01424,ccass:B01424,INTERCHINA SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,142,B01425,ccass:B01425,WELLFULL SECURITIES CO LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,143,B01426,ccass:B01426,YEE FAT SECURITIES CO LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,144,B01427,ccass:B01427,TSE'S SECURITIES LTD,2024-01-02,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,145,B01428,ccass:B01428,HIP HING SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,146,B01430,ccass:B01430,CITIGROUP GLOBAL MARKETS ASIA LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
